Country Name	Country Code	Series Name	Series Code	2011
Afghanistan	AFG	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	7.547091
Afghanistan	AFG	Account used to receive government payments (% age 15+)	GFDD.AI.09	1.991833
Afghanistan	AFG	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.727025
Afghanistan	AFG	Account used to receive wages (% age 15+)	GFDD.AI.11	7.045094
Albania	ALB	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	26.0605
Albania	ALB	Account used to receive government payments (% age 15+)	GFDD.AI.09	4.675701
Albania	ALB	Account used to receive remittances (% age 15+)	GFDD.AI.10	5.639255
Albania	ALB	Account used to receive wages (% age 15+)	GFDD.AI.11	11.12742
Algeria	DZA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	31.80779
Algeria	DZA	Account used to receive government payments (% age 15+)	GFDD.AI.09	17.36302
Algeria	DZA	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.807368
Algeria	DZA	Account used to receive wages (% age 15+)	GFDD.AI.11	8.909562
Andorra	ADO	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Andorra	ADO	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Andorra	ADO	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Andorra	ADO	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Angola	AGO	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	36.9854
Angola	AGO	Account used to receive government payments (% age 15+)	GFDD.AI.09	10.16392
Angola	AGO	Account used to receive remittances (% age 15+)	GFDD.AI.10	8.172771
Angola	AGO	Account used to receive wages (% age 15+)	GFDD.AI.11	21.71717
Antigua and Barbuda	ATG	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Antigua and Barbuda	ATG	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Antigua and Barbuda	ATG	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Antigua and Barbuda	ATG	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Argentina	ARG	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	32.37553
Argentina	ARG	Account used to receive government payments (% age 15+)	GFDD.AI.09	11.34639
Argentina	ARG	Account used to receive remittances (% age 15+)	GFDD.AI.10	0.6474341
Argentina	ARG	Account used to receive wages (% age 15+)	GFDD.AI.11	15.83745
Armenia	ARM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	16.20019
Armenia	ARM	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.496544
Armenia	ARM	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.458428
Armenia	ARM	Account used to receive wages (% age 15+)	GFDD.AI.11	7.403015
Aruba	ABW	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Aruba	ABW	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Aruba	ABW	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Aruba	ABW	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Australia	AUS	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	98.82169
Australia	AUS	Account used to receive government payments (% age 15+)	GFDD.AI.09	59.3172
Australia	AUS	Account used to receive remittances (% age 15+)	GFDD.AI.10	17.45794
Australia	AUS	Account used to receive wages (% age 15+)	GFDD.AI.11	68.18072
Austria	AUT	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	96.08124
Austria	AUT	Account used to receive government payments (% age 15+)	GFDD.AI.09	37.65165
Austria	AUT	Account used to receive remittances (% age 15+)	GFDD.AI.10	10.23051
Austria	AUT	Account used to receive wages (% age 15+)	GFDD.AI.11	55.76746
Azerbaijan	AZE	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	14.84311
Azerbaijan	AZE	Account used to receive government payments (% age 15+)	GFDD.AI.09	12.57352
Azerbaijan	AZE	Account used to receive remittances (% age 15+)	GFDD.AI.10	0.5867304
Azerbaijan	AZE	Account used to receive wages (% age 15+)	GFDD.AI.11	2.468936
"Bahamas, The"	BHS	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
"Bahamas, The"	BHS	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
"Bahamas, The"	BHS	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
"Bahamas, The"	BHS	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Bahrain	BHR	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	63.83578
Bahrain	BHR	Account used to receive government payments (% age 15+)	GFDD.AI.09	34.19783
Bahrain	BHR	Account used to receive remittances (% age 15+)	GFDD.AI.10	5.574704
Bahrain	BHR	Account used to receive wages (% age 15+)	GFDD.AI.11	9.519797
Bangladesh	BGD	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	36.58531
