Country,Concept,Data Source,Status,Unit,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Afghanistan, Islamic Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,,53789441831,67761051347.77,92641142077.97,117359388845.32,159294136946.715,200263528560.59,207458791073.22,238279092944.19
"Afghanistan, Islamic Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,,47418117765,58546929032.71,72825467565.37,89843779632.42,122865990446.74,148380901665.35,150008479167.25,168796698047.93
Albania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,198250248076.98,217624709201.11,228230907301.08,271729193546.68,284839656405.39,283453502909.61,289809511957.76,297721915166.68,308073731835.47
Albania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,153570135907,168254914350,161181907774,203732807876,216767578759,202386718087,202906545922,200898666682,207792716967
Algeria,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1178692668126.14,1342524356477.87,1729003178405.91,1925521283480.21,2214165483800.7,2616875222765.31,3137921969575.13,3709150647381.71,4137803834295.18
Algeria,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,930263730956.94,1092103336863.38,1301315281573.66,1561729620980.32,1849910205488.91,2132190797901.2,2610470951985.45,2997201286569.3,3247647680263.38
Angola,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,152098557190.85,153592870474.99,246574001709.68,400013752590.63,702135599587.65,802810556347.54,989393395572.38,1006829666376.33,1160258443703.4
Angola,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,78542575226.6,93503261076.1,113508311036.7,168372620037.4,213937175881,229840211964.5,287545937292.8,335504850790.8,410181670524.8
Anguilla,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,107192347,115770352,130831989,117670029,121730873,114404431.665991,104888818.374796,116723828.09396,119454730.935033
Anguilla,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,14408099,18405415,18945967,24091842,22851478,18660902.6659909,17877337.3447963,16930348.2039605,16706843.3450331
Antigua and Barbuda,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,365558940,405284779,413252628,391700576,392544108,434846967.157097,513069030.574608,546106722.968114,637642939.499488
Antigua and Barbuda,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,169833203,183837296,194186245,201377912,182596547,172233520.157097,169946449.574608,164167264.848114,180251575.559488
"Armenia, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,208272647576.5,290397396777.9,427118491745.7,449730670714,511677928618.8,519654729252.2,671270548355.7,708854883671.9,912562112566.9
"Armenia, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,155274723174.2,226841134670.3,350273664225.9,344503231537.7,320669631112.7,348164733991.4,398777361838.6,440117122644.9,446833170099.2
Australia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,37042000000,38962000000,44961000000,52147000000,51635000000,53139000000,55856000000,59083000000,63200000000
Australia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,37001000000,38946000000,44939000000,51709000000,51615000000,53082000000,55817000000,58982000000,63018000000
"Azerbaijan, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,886029175.2352,2044775108.21,3441487010.67,4963886059.63,4907717090.33,6520910952.99,8489400625.15,10660290947.6,11793511852.1
"Azerbaijan, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,594108339.78678,1449286294.27,2911155242.84,4425820566.8,4512709974.56,5793219147.08,7658485571.38,9777521734.92,11033734471.83
Bangladesh,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,328942000000,453614000000,505225000000,594710000000,700689000000,853401000000,987028000000,1155239000000,1204540000000
Bangladesh,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,219784000000,314356000000,349972000000,403675000000,444593000000,573182000000,631812000000,717332000000,819032000000
Barbados,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,779260000,932578131.01,1273799645,1293641981,1220307483,1031899060,1200016215,,
Barbados,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,575860000,596056993.09,635172597,622400397,628980880,648760065,650217648,,
Belarus,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,4159140100000,4983873300000,6896276900000,7702657300000,6813221500000,10187596900000,18757461700000,30318414000000,34388380200000
Belarus,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2368316600000,3365315300000,4007396300000,4941781000000,4924519100000,6207887800000,9449911500000,16136628100000,17892860700000
Belize,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,255421000,321458903.22,336247498.97,382887533.3,428634785.94,416882308.89,476190248.12,567618549.78,658348226.98
Belize,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,143089000,169354339.34,185773148.5,193195838.03,191973185.56,191602557.44,210578509.05,238140569.86,262467155.37
Bhutan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,12732544842,12284819452.41,14517594976,15784977979,22318059953.7,27248625281.81,21173432464.14,19148351556.84,21953069251.11
Bhutan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2518866270,2908344654,4070042740,4816247252,5218761411,6189398111,7576110018,6729751568,7318291568
Bolivia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,11018822934.475,16024060321.4486,23532978017.4446,28695354246.3276,35109933912.3453,40580763038.9477,53669782000.5422,63884096627.6346,70220602121.2273
Bolivia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,6179509485.35,8773573223.88,14102848197.08,17043319105.52,18892392916.36,24585622267.57,28585087161.64,32665086160.45,37001012189.35
Bosnia and Herzegovina,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,3972373680,5056562939.24,6229003609.35,5704044249.29,5648866184.64,5899740395.54,5848905698.93,5801676015.64,6400995027.78
Bosnia and Herzegovina,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1907182940,2154234164.35,2439709152.55,2552431902.15,2267734115.1,2497501445.35,2645055508.55,2747511841.8,2909858088.3
Botswana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,6104248187.79,16131437157.26,19140143286.23,20826852557.12,20751281566.73,23292703372.14,16015017227.04,15256642281.64,12899960556.63
Botswana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,935263223,1069719047,1360905957,1593969706,1659187368,1915663808,2089157938,2274816173,2381515837
Brazil,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,181385000000,204249000000,248840000000,205623000000,228924000000,530561000000,587671000000,508029545992.577,574550390081.084
Brazil,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,70033000000,85825000000,102885000000,115591000000,131861000000,151145000000,162770000000,187435000000,204052000000
Brunei Darussalam,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1376851008.91,1394586544.74,1458919721.67,1691259767.52,1624322159.75,1744141121.71,2665478862.51,2887007483.11,2970924402.57
Brunei Darussalam,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,704651599.69,739874653.120001,848834481.140001,921787225.51,954513615.79,1023711169.47,1689986960.32,1627051692.34,1219734582
Burundi,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,101221400000,108143500000,125490900000,156438500000,198044100000,209859900000,211228700000,245341400000,303348000000
Burundi,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,73203700000,76883000000,92976000000,124230900000,136206200000,155835200000,170106000000,198246900000,211683700000
Cabo Verde,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,21113521183.3,21861129656,24040652164,25958907688,26829093007,25916249175,24438949781,32579829119,38427083269
Cabo Verde,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,8691510382.3,9187971702,9982797432,10349751236,9850569243,10190267277,9846156563,9828621577,10096378117
Cambodia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2639442855564,3387280448102,5025835992532.81,6109752900000,8752350000000,10270116200000,11072807741194,13080951761543,14776976648549
Cambodia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1310958417650,1633102912200,2043886138850,2393757100000,3094678000000,3240994600000,3953451407600,3986468820700,4794549957000
Cameroon,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,675095000000,860352000000,1121642000000,1126173000000,1219167000000,1384557000000,1343736000000,1458339000000,1349750000000
Cameroon,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,363813000000,392257000000,491967000000,557070000000,582134000000,639164000000,661995000000,705338000000,707067000000
Canada,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,46127738000,48773998000,51066777000,53757277000,58467522000,57921736000,61135441000,63886411000,66802669000
Canada,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,46077890000,48762193000,50565246000,53731330000,55467894000,57874242000,61028761000,63700027000,66615938000
Central African Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,98381000000,83842000000,68298000000,82770000000,105930000000,108357000000,117196000000,114422000000,133133000000
Central African Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,92250000000,82674000000,62419000000,76487000000,86425000000,98780000000,110801000000,110789000000,124191000000
Chad,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,194435000000,302015000000,324923000000,399353000000,367508000000,448436000000,509892000000,555894000000,615318000000
Chad,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,171677000000,235180000000,262346000000,343935000000,309996000000,368399000000,400330000000,428387000000,480158000000
Chile,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2928169331564,3405611237188,3672153315160,4229786934355,4582203518024,5525857540433,6855602389614,7890360355966,8754473910399
Chile,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2466319196116,2823073145064,3315835636981,3685750864267,4189634862434,4748482912975,5265742562889,6195118184829,6917607392244
"China, P.R.: Macao",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,5775289000,6943738000,8233599000,9238862000,17123195000,19736698000,23697041000,31571212000,25546974000
"China, P.R.: Macao",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,3250012000,3806887000,4458052000,5016595000,5572843000,6054427000,7067228000,8806771000,10742902000
Colombia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,22804646458000,27032198114000,32415323119000,36194903794000,39546608890000,44877585722000,51341929260000,56464373254000,65098798163000
Colombia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,19639067877000,24462867257000,27461345213000,30541262458000,32304680337000,36707374358000,41188186036000,43864664778000,49095480002000
Comoros,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,27175181630,26898806218,28567198799,31632650004,37042587872,39193427407,45099147081,53589485460,45613655086
Comoros,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,11599203562,12926040873,13698367285,13972312884,16049970635,19616217521,22135681008,24455787960,23911524030
"Congo, Democratic Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,133640426023.979,206000202204.979,283235259580.27,378371945127.95,467683240995.9,611028797737.67,792239140800.56,843832373897.78,973694944025.92
"Congo, Democratic Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,123793722736,185333765409,243784783190.78,320274196964.18,394659390435.51,510071292879,647486859991.2,642560179105.18,760458298702.9
"Congo, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,374305000000,457375000000,557651000000,803552510953,723469000000,841577000000,1153735000000,1356500000000,1157886000000
"Congo, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,230788000000,296065000000,334323000000,431560254059,434645000000,483506000000,564028000000,621561000000,682332000000
Costa Rica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2072858029669.86,2710282934150.06,3245929748207.03,3184307589175.25,3347429489621.89,3410837380128.75,3915210214965.43,4557916751244.26,5414682469969.71
Costa Rica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,332168575520.95,413182988914.45,546261500524.95,575002684041.45,612994523729.1,665045533481.8,743086171074.3,844773965314.25,921450814198.75
