Country,Time,Unit,Data Source,Status,Scale,"Interest Rates, Government Securities, Government Bonds","Interest Rates, Government Securities, Government Bonds, Short-term","Interest Rates, Government Securities, Government Bonds, Medium- and Long-term"
Angola,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.25,,
"Armenia, Republic of",2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.20861632104455,,
"Armenia, Republic of",2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.18325,,
"Armenia, Republic of",2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.856925,,
"Armenia, Republic of",2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.562225,,
"Armenia, Republic of",2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.32171227463082,,
"Armenia, Republic of",2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,11.8599542551728,,
"Armenia, Republic of",2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,13.8827399559478,,
"Armenia, Republic of",2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,13.8,,
"Armenia, Republic of",2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,14.3012166916667,,
"Armenia, Republic of",2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,13.2034138827596,,
Australia,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.59077450749734,5.27210671544639,
Australia,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.33997311398556,5.27623509201198,
Australia,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.5878722441858,5.67960629816034,
Australia,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.99452083739212,6.29808089586065,
Australia,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.81794393964159,5.73232359513738,
Australia,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.03951184202271,4.22433960333145,
Australia,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.36604166666667,4.88770833333333,
Australia,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.87958333333334,4.37229166666667,
Australia,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.37916666666667,2.83229166666667,
