ABB,Countries,EU (y/n),Banknotes production costs (LCUk),Exchange rate,Banknotes production costs (USDm),GDP (USDbn),lg(GDP),lg(CPC),GDP per capita,lg(GDP per Capita),Currency base
JPN,Japan,n,48016228,87.779875,547.0072497,4901.53,29.22056852,20.11997261,38633.70806,10.56188044,1079627.876
DEU,Germany,y,36000,0.753159182,47.79866045,3634.823,28.92158153,17.68250817,46268.64107,10.74221971,626690.9381
FRA,France,y,220639.5789,0.753159182,292.9521198,2734.949,28.6371339,19.49551974,42503.30359,10.65733708,351745.4961
GBR,United Kingdom,n,61000,0.647179346,94.25517118,2521.381,28.55582788,18.36151625,41787.46798,10.64035176,93015.94745
IND,India,n,32135816,45.72581212,702.7937725,1876.797,28.26058772,20.37057405,1498.872175,7.312468221,284347.0547
BRA,Brazil,n,1398697,1.759226711,795.0635308,2245.673,28.44002637,20.49393258,11208.08274,9.32439047,115989.5986
RUS,Russian Federation,n,11354000,30.36791534,373.8814428,2096.777,28.37142252,19.73944931,14611.70078,9.58957791,273561.7479
ITA,Italy,y,110000,0.753159182,146.0514625,2071.307,28.35920092,18.7994696,35925.87748,10.48921314,155913.4112
CAN,Canada,n,158800,1.030162783,154.1503951,1826.769,28.23356995,18.85343928,51958.38124,10.85819832,64665.44812
AUS,Australia,n,60500,1.090159486,55.49646704,1560.597,28.07608956,17.83182992,67458.35541,11.11926573,57806.22082
ESP,Spain,y,70310,0.753159182,93.35343935,1358.263,27.93722779,18.35190327,29863.17672,10.30438145,105954.3136
KOR,"Korea, Rep.",n,136900000,1156.060988,118.419358,1304.554,27.89688234,18.58974276,25976.95283,10.16496499,54704.994
IDN,Indonesia,n,1439975000,9090.433333,158.4055399,868.346,27.48985609,18.88066901,3475.250474,8.153421834,55005.11788
TUR,Turkey,n,130292,1.50284863,86.69668883,820.207,27.43282258,18.27792625,10971.65631,9.303070527,49781.85329
NLD,Netherlands,y,37000,0.753159182,49.12640102,800.173,27.40809379,17.70990715,50793.14296,10.83551664,111582.7939
CHE,Switzerland,n,25500,1.042905646,24.45091759,650.377,27.20081803,17.0121783,84815.40701,11.34823249,364868.0986
