Row Labels,Average of cashprice,Average of remit_TRX,Average of rec_paymt,Average of rec_remit
Afghanistan,3.60,1.24,0.02,0.02
Albania,4.34,5.63,0.05,0.06
Algeria,5.32,1.01,0.17,0.02
Andorra,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Angola,5.89,0.00,0.10,0.08
Antigua and Barbuda,4.92,0.10,0.11,0.07
Argentina,3.99,3.49,0.13,0.08
Armenia,0.92,8.99,0.02,0.02
Aruba,6.85,0.03,0.29,0.15
Australia,4.95,9.23,0.59,0.17
Austria,2.23,14.59,0.38,0.10
Azerbaijan,1.17,9.47,0.13,0.01
"Bahamas, The",6.27,1.06,0.15,0.07
Bahrain,6.25,2.30,0.34,0.06
Bangladesh,2.28,60.36,0.02,0.03
Barbados,6.55,1.49,0.25,0.12
Belarus,1.20,4.45,0.11,0.02
Belgium,2.30,54.88,0.51,0.11
Belize,3.27,0.38,0.03,0.04
Benin,4.01,0.86,0.01,0.03
Bermuda,6.62,6.27,0.57,0.34
Bhutan,5.07,0.05,0.08,0.05
Bolivia,5.11,5.21,0.02,0.04
Bosnia and Herzegovina,6.01,9.79,0.15,0.08
Botswana,4.69,0.10,0.09,0.12
Brazil,5.40,13.99,0.20,0.05
Brunei Darussalam,8.38,1.05,0.44,0.21
Bulgaria,5.52,7.42,0.06,0.06
Burkina Faso,4.02,2.42,0.01,0.01
Burundi,4.26,0.23,0.02,0.01
Cambodia,3.98,0.80,0.00,0.01
Cameroon,4.01,1.10,0.02,0.01
Canada,3.05,5.83,0.65,0.13
Cape Verde,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cayman Islands,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central African Republic,3.71,1.49,0.01,0.01
Chad,4.48,4.63,0.03,0.03
Chile,3.18,13.86,0.06,0.04
China,5.53,202.42,0.07,0.09
Colombia,2.85,20.51,0.04,0.03
Comoros,5.03,0.41,0.05,0.04
"Congo, Dem. Rep.",4.39,0.57,0.00,0.01
"Congo, Rep.",3.96,4.26,0.01,0.02
Costa Rica,4.19,2.60,0.13,0.09
Cote d'Ivoire,3.63,6.14,0.06,0.04
Croatia,7.73,6.74,0.10,0.05
Cuba,3.41,15.19,0.13,0.12
Curacao,5.15,0.17,0.12,0.10
Cyprus,5.66,0.63,0.37,0.08
Czech Republic,2.67,10.37,0.10,0.04
Denmark,3.04,6.79,0.73,0.34
Djibouti,4.52,0.16,0.06,0.03
Dominica,5.81,0.11,0.16,0.15
Dominican Republic,2.72,21.20,0.07,0.09
Ecuador,2.48,13.40,0.05,0.04
"Egypt, Arab Rep.",2.26,71.62,0.02,0.01
El Salvador,2.35,18.22,0.03,0.03
Equatorial Guinea,7.40,0.73,0.52,0.20
Eritrea,7.38,1.02,0.04,0.07
Estonia,2.31,2.03,0.61,0.21
Ethiopia,3.99,2.57,0.02,0.04
Faeroe Islands,4.67,0.79,0.09,0.07
Fiji,6.43,0.80,0.09,0.11
Finland,3.79,3.76,0.66,0.32
France,2.69,112.81,0.37,0.18
French Polynesia,3.46,3.78,0.11,0.05
Gabon,4.54,2.29,0.03,0.03
"Gambia, The",3.15,0.54,0.02,0.03
Georgia,1.32,7.74,0.19,0.02
Germany,1.66,72.61,0.62,0.17
Ghana,5.49,0.76,0.07,0.12
Greece,2.45,5.93,0.21,0.05
Grenada,5.71,0.14,0.15,0.13
Guatemala,2.74,22.62,0.03,0.04
Guinea,3.51,0.32,0.01,0.01
Guinea-Bissau,5.27,1.44,0.03,0.06
Guyana,3.64,2.06,0.06,0.08
Haiti,3.77,7.76,0.01,0.11
Honduras,3.16,14.05,0.02,0.04
"Hong Kong SAR, China",7.37,1.76,0.18,0.15
Hungary,2.16,11.39,0.34,0.05
Iceland,4.04,0.11,0.44,0.15
India,3.34,312.50,0.04,0.02
Indonesia,3.53,34.62,0.03,0.06
"Iran, Islamic Rep.",5.20,6.65,0.49,0.27
Iraq,3.10,1.12,0.04,0.02
Ireland,2.40,3.78,0.39,0.12
Isle of Man,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Israel,3.78,2.97,0.32,0.10
Italy,1.30,35.13,0.22,0.03
Jamaica,4.13,10.53,0.04,0.15
Japan,3.78,10.66,0.48,0.07
Jordan,2.82,16.84,0.09,0.02
Kazakhstan,1.14,0.90,0.09,0.03
Kenya,4.66,4.67,0.05,0.17
Kiribati,8.75,0.98,0.14,0.21
"Korea, Dem. Rep.",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Korea, Rep.",4.96,32.91,0.25,0.40
Kosovo,2.65,5.61,0.10,0.09
Kuwait,7.14,0.03,0.41,0.06
Kyrgyz Republic,2.02,8.54,0.00,0.01
Lao PDR,4.91,0.55,0.01,0.03
Latvia,2.13,3.48,0.49,0.12
Lebanon,5.67,34.57,0.02,0.06
Lesotho,3.34,3.25,0.06,0.10
Liberia,5.16,1.80,0.06,0.07
Libya,4.66,5.83,0.20,0.14
Liechtenstein,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lithuania,4.89,9.78,0.29,0.11
Luxembourg,2.39,8.84,0.37,0.11
"Macao SAR, China",7.28,0.24,0.34,0.19
"Macedonia, FYR",4.20,2.17,0.09,0.06
Madagascar,3.97,2.25,0.01,0.01
Malawi,4.69,0.13,0.04,0.07
Malaysia,3.94,6.06,0.07,0.10
Maldives,6.78,0.01,0.25,0.14
Mali,3.46,3.92,0.02,0.02
Malta,7.48,0.19,0.56,0.03
Marshall Islands,6.94,0.88,0.08,0.12
Mauritania,5.02,1.60,0.08,0.04
Mauritius,6.31,0.00,0.22,0.03
Mexico,3.11,117.94,0.04,0.05
"Micronesia, Fed. Sts.",6.79,0.80,0.12,0.15
Moldova,2.65,8.00,0.06,0.02
Monaco,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mongolia,6.20,1.40,0.49,0.41
Montenegro,4.61,1.72,0.19,0.05
Morocco,4.20,36.28,0.05,0.10
Mozambique,4.69,0.78,0.06,0.11
Myanmar,4.92,0.64,0.21,0.11
Namibia,6.35,0.08,0.24,0.13
Nepal,2.89,21.08,0.01,0.05
Netherlands,2.38,8.80,0.69,0.13
New Caledonia,4.03,2.59,0.21,0.09
New Zealand,5.98,4.37,0.55,0.20
Nicaragua,2.36,4.57,0.00,0.02
Niger,3.48,1.63,0.00,0.00
Nigeria,4.60,103.09,0.06,0.16
Norway,2.98,3.82,0.57,0.20
Oman,6.16,0.20,0.26,0.18
Pakistan,3.36,61.32,0.02,0.01
Palau,7.48,0.44,0.29,0.22
Panama,3.81,1.92,0.04,0.05
Papua New Guinea,9.35,0.08,0.16,0.17
Paraguay,3.26,2.70,0.01,0.02
Peru,2.58,13.48,0.03,0.04
Philippines,3.42,115.27,0.06,0.12
Poland,3.87,38.21,0.13,0.07
Portugal,1.96,18.89,0.37,0.06
Qatar,5.28,2.87,0.18,0.14
Romania,4.82,19.45,0.15,0.05
Russian Federation,3.20,30.52,0.08,0.02
Rwanda,6.13,0.87,0.05,0.01
Samoa,7.42,0.70,0.08,0.11
San Marino,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sao Tome and Principe,5.75,0.03,0.06,0.06
Saudi Arabia,6.12,1.22,0.12,0.06
Senegal,3.18,8.07,0.01,0.01
Serbia,5.58,16.36,0.30,0.05
Seychelles,5.62,0.13,0.32,0.20
Sierra Leone,4.69,0.29,0.04,0.07
Singapore,7.05,2.69,0.48,0.10
Slovak Republic,2.90,8.76,0.11,0.04
Slovenia,3.73,2.45,0.39,0.09
Solomon Islands,7.89,0.01,0.09,0.12
Somalia,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Africa,5.76,5.79,0.20,0.18
Spain,2.14,49.61,0.43,0.08
Sri Lanka,3.29,25.77,0.03,0.05
St. Kitts and Nevis,4.53,0.22,0.19,0.19
St. Lucia,4.72,0.15,0.08,0.08
St. Vincent and the Grenadines,5.39,0.15,0.16,0.12
Sudan,3.46,2.21,0.02,0.02
Suriname,4.34,0.02,0.19,0.12
Swaziland,3.34,0.19,0.09,0.16
Sweden,3.28,4.64,0.62,0.29
Switzerland,2.18,15.58,0.37,0.13
Syrian Arab Republic,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tajikistan,1.32,15.30,0.01,0.01
Tanzania,5.06,0.39,0.05,0.07
Thailand,4.85,22.77,0.09,0.17
Timor-Leste,5.88,0.65,0.06,0.10
Togo,4.26,2.10,0.02,0.01
Tonga,6.91,0.35,0.18,0.22
Trinidad and Tobago,5.77,0.63,0.19,0.05
Tunisia,5.30,10.02,0.06,0.03
Turkey,4.72,5.44,0.18,0.16
Turkmenistan,-0.85,16.13,0.00,0.00
Tuvalu,6.88,0.49,0.09,0.09
Uganda,4.35,4.08,0.03,0.03
Ukraine,1.72,39.11,0.08,0.03
United Arab Emirates,6.26,4.50,0.23,0.06
United Kingdom,2.89,8.98,0.52,0.21
United States,2.38,30.52,0.44,0.12
Uruguay,2.81,0.52,0.06,0.01
Uzbekistan,1.12,23.12,0.05,0.00
Vanuatu,7.65,0.11,0.08,0.10
"Venezuela, RB",4.11,0.69,0.08,0.03
Vietnam,3.80,43.00,0.02,0.02
West Bank and Gaza,4.58,8.33,0.06,0.02
"Yemen, Rep.",1.84,7.02,0.02,0.01
Zambia,6.18,0.23,0.06,0.07
Zimbabwe,6.07,2.92,0.10,0.22
Grand Total,4.33,13.20,0.17,0.09
