Country,Concept,Unit,Data Source,Status,Scale,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Afghanistan, Islamic Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Albania,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Algeria,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,37984489000,131222713000,132006253000,167372237012.31,194196671000,265371900000,322631646000,518704699000,758686675384.33,860187269865.33
Angola,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,,,,0,0,0,0
Angola,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,,,,,,,,,,8.25
Anguilla,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Armenia, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Armenia, Republic of","Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.20861632104455,5.18325,5.856925,6.562225,8.32171227463082,11.8599542551728,13.8827399559478,13.8,14.3012166916667,13.2034138827596
Australia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Australia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.59077450749734,5.33997311398556,5.5878722441858,5.99452083739212,5.81794393964159,5.03951184202271,5.36604166666667,4.87958333333334,3.37916666666667,3.69666666666667
Austria,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.13083333333333,3.39416666666667,3.8,4.2975,4.35833333333333,3.93666666666667,3.22583333333333,3.31916666666666,2.3725,2.01
"Azerbaijan, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Bangladesh,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,3541000000,3823000000,4075000000,4569000000,4672000000,4975000000,5632000000,6714000000,7312000000,7677000000
Barbados,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,,,,
Belarus,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
