Country,Concept,Data Source,Status,Unit,Scale,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Afghanistan, Islamic Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,,,,53789.441831,67761.05134777,92641.14207797,117359.38884532,159294.136946715,200263.52856059,207458.79107322
"Afghanistan, Islamic Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,,,,47418.117765,58546.92903271,72825.46756537,89843.77963242,122865.99044674,148380.90166535,150008.47916725
Albania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,160.56718626537,178.59810119601,198.25024807698,217.62470920111,228.23090730108,271.72919354668,284.83965640539,283.45350290961,289.80951195776,297.72191516668
Albania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,127.789573713,141.644797271,153.570135907,168.25491435,161.181907774,203.732807876,216.767578759,202.386718087,202.906545922,200.898666682
Albania,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,8.80972366666667,6.7937019,5.52174276666667,5.48912708333333,5.93237143069444,6.24173510048611,6.27328686416667,5.82608326458333,5.46302376125,5.152268622625
Algeria,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1161.88603840668,1160.53470642945,1178.69266812614,1342.52435647787,1729.00317840591,1925.52128348021,2214.1654838007,2616.87522276531,3137.92196957513,3709.15064738171
Algeria,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,787.66180652503,882.46487769248,930.26373095694,1092.10333686338,1301.31528157366,1561.72962098032,1849.91020548891,2132.1907979012,2610.47095198545,2997.2012865693
Algeria,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.67166666666667,0.8675,0.751666666666667,2.14333333333333,0.95875,0.334166666666667,0.67,0.313333333333333,0.211666666666667,0.489166666666667
Angola,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,58629.49458281,91405.62393011,152098.55719085,153592.87047499,246574.00170968,400013.75259063,702135.59958765,802810.55634754,989393.39557238,1006829.66637633
Angola,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,40594.276358,56346.2817226,78542.5752266,93503.2610761,113508.3110367,168372.6200374,213937.175881,229840.2119645,287545.9372928,335504.8507908
Angola,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,57.21,31.6266666666667,,,,,10.82,6.92580555555556,3.44722222222222
Anguilla,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,89.632088,92.484187,107.192347,115.770352,130.831989,117.670029,121.730873,114.404431665991,104.888818374796,116.72382809396
Anguilla,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,13.013087,14.200259,14.408099,18.405415,18.945967,24.091842,22.851478,18.6609026659909,17.8773373447963,16.9303482039605
Antigua and Barbuda,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,333.738474,345.188049,365.55894,405.284779,413.252628,391.700576,392.544108,434.846967157097,513.069030574608,546.106722968114
Antigua and Barbuda,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,135.09307,154.462336,169.833203,183.837296,194.186245,201.377912,182.596547,172.233520157097,169.946449574608,164.167264848114
Antigua and Barbuda,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,7,7,7,6.52,6.33333333333333,6.015,6.375,6.25,6.5,5.875
"Armenia, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,118685.5430544,134049.8158533,208272.6475765,290397.3967779,427118.4917457,449730.670714,511677.9286188,519654.7292522,671270.5483557,708854.8836719
"Armenia, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,96838.1709502,105533.6687087,155274.7231742,226841.1346703,350273.6642259,344503.2315377,320669.6311127,348164.7339914,398777.3618386,440117.1226449
"Armenia, Republic of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,11.9117979963455,5.27059388888889,4.05046944444444,4.86519239105275,6.08895833333333,7.6877800125,9.41960964738192,10.5858265773626,9.525775,9.7958375
Australia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,34167,34927,37042,38962,44961,52147,51635,53139,55856,59083
Australia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,34023,34861,37001,38946,44939,51709,51615,53082,55817,58982
Australia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,,,3.14751812275253,4.44125,4.55604166666667,3.49354166666667
Austria,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,12.286,14.106,15.904,17.651,18.979,21.352,21.81,22.76,24.044,24.754
"Azerbaijan, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,516.79645508103,833.701684414484,886.0291752352,2044.77510821,3441.48701067,4963.88605963,4907.71709033,6520.91095299,8489.40062515,10660.2909476
"Azerbaijan, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,433.70396769783,526.20719044998,594.10833978678,1449.28629427,2911.15524284,4425.8205668,4512.70997456,5793.21914708,7658.48557138,9777.52173492
"Azerbaijan, Republic of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,7.9975,4.62208333333333,7.515,10.0383333333333,10.6391666666667,10.477777777,3.30666666666667,1.82916666666667,2.28166666666667,2.43
"Bahamas, The","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.77583333333333,0.555,0.140833333333333,0.868333333333333,2.66320833333333,2.73385833333333,2.6169,2.27746666666667,1.248325,0.235708333333333
"Bahrain, Kingdom of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.1325,1.55666666666667,3.5675,5.035,4.86416666666667,2.52979166666667,1.05516666666667,0.831041666666667,0.955375000000001,1.20754166666667
Bangladesh,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,243339,262394,328942,453614,505225,594710,700689,853401,987028,1155239
Bangladesh,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,154628,182820,219784,314356,349972,403675,444593,573182,631812,717332
Barbados,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1085.18,773.8,779.26,932.57813101,1273.799645,1293.641981,1220.307483,1031.89906,1200.016215,
