"","country","year","GB.TDS.FRGN.CN","iso2c","DT.TDS.DECT.EX.ZS","DT.TDS.DECT.GD.ZS","DT.TDS.DECT.GN.ZS","iso3c","region","capital","longitude","latitude","income","lending"
"1","Afghanistan",2005,NA,"AF",NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"2","Afghanistan",2006,NA,"AF",NA,NA,0.153415732696667,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"3","Afghanistan",2007,NA,"AF",NA,NA,0.0623559858354279,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"4","Afghanistan",2008,NA,"AF",0.415063304906222,NA,0.0784763040822521,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"5","Afghanistan",2009,NA,"AF",0.421695242572126,NA,0.085627305580091,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"6","Afghanistan",2010,NA,"AF",0.254892346855671,NA,0.0624509932338228,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"7","Afghanistan",2011,NA,"AF",0.250782334184099,NA,0.0600627704078294,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"8","Afghanistan",2012,NA,"AF",0.332017667826769,NA,0.0682780460573993,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"9","Afghanistan",2013,NA,"AF",NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"10","Afghanistan",2014,NA,"AF",NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"11","Africa",2005,NA,"",NA,3.72677114261637,NA,NA,NA,NA,NA,NA,NA,NA
"12","Africa",2006,NA,"",NA,4.19556272928619,NA,NA,NA,NA,NA,NA,NA,NA
"13","Africa",2007,NA,"",NA,2.32954101062665,NA,NA,NA,NA,NA,NA,NA,NA
"14","Africa",2008,NA,"",NA,1.81057639448754,NA,NA,NA,NA,NA,NA,NA,NA
"15","Africa",2009,NA,"",NA,1.70890403345608,NA,NA,NA,NA,NA,NA,NA,NA
"16","Africa",2010,NA,"",NA,1.44787074022772,NA,NA,NA,NA,NA,NA,NA,NA
"17","Africa",2011,NA,"",NA,1.4537643524791,NA,NA,NA,NA,NA,NA,NA,NA
"18","Africa",2012,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Albania",2005,NA,"AL",4.82315439514007,NA,0.952926293422619,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"20","Albania",2006,NA,"AL",9.16478674896705,NA,2.15886756238057,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"21","Albania",2007,NA,"AL",5.29228323718002,NA,1.36989266026099,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"22","Albania",2008,NA,"AL",4.45227262796156,NA,1.29004460472658,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"23","Albania",2009,NA,"AL",5.70759119399217,NA,1.65595474180625,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"24","Albania",2010,NA,"AL",5.24634805148539,NA,1.64575113930968,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"25","Albania",2011,NA,"AL",6.21673884786536,NA,1.97469268902685,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
"26","Albania",2012,NA,"AL",7.10273605493087,NA,2.20097204951774,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD"
