"","Country","Time","Unit","Data.Source","Status","Scale","interest","iso2c","int.gov","int.gov2"
"1","Angola",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",8.25,"AO",8.25,8.25
"2","Armenia, Republic of",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",13.2034138827596,"AM",13.7682101914754,10.1180053381222
"3","Australia",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",3.69666666666667,"AU",3.98513888888889,5.06920548180585
"4","Austria",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.01,"AT",2.56722222222222,3.4845
"5","Belgium",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.41,"BE",3.21444444444444,3.71491666666667
"6","Botswana",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",5.013,"BW",6.03766666666667,8.65059166666668
"7","Bulgaria",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",3.4729,"BG",4.44238611111111,4.98799583333333
"8","Canada",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.71833333333333,"CA",2.75472222222222,3.79533333333333
"9","Cyprus",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",6.5,"CY",6.42916666666667,5.26558333333333
"10","Czech Republic",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.2029185806444,"CZ",2.67568411563017,3.61860523468905
"11","Denmark",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",1.74583333333333,"DK",1.95991666666666,3.24830833333333
"12","Estonia",2010,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",5.96833333333333,"EE",5.7447619047619,5.7447619047619
"13","Ethiopia",2008,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",4,"ET",3.97821428571429,3.97821428571429
"14","Euro Area",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",3.01336666666667,NA,3.45959722222222,3.83216
"15","Fiji",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",4,"FJ",4,4.99400990704501
"16","Finland",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",1.8617702625993,"FI",2.25061218129969,3.33308693891123
"17","France",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.20378333333333,"FR",2.68706111111111,3.46708083333333
"18","Germany",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",1.57,"DE",1.89055555555556,3.09908333333333
"19","Ghana",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",18.4033333333333,"GH",17.4141666666667,17.2871180555555
"20","Greece",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",10.0541666666667,"GR",16.1005555555556,8.37808333333334
"21","Honduras",2007,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",7.69901666666667,"HN",9.63847291666667,9.63847291666667
"22","Hungary",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",5.92333333333333,"HU",7.149775,7.474145
"23","Iceland",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",2.55166666666667,"IS",2.59226850111111,3.67590540441667
"24","Ireland",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",3.79,"IE",6.52111111111111,5.053
"25","Italy",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",4.31666666666667,"IT",5.07777777777778,4.46126316666667
"26","Japan",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",0.700416666666667,"JP",0.885972222222221,1.28433333333333
"27","Korea, Republic of",2013,"Percent per Annum","International Financial Statistics (IFS)","Published","Units",3.16483333333333,"KR",3.568,4.57923333333333
